"sweep_param","sweep_value","xL","xk","xl","xU","gamma","converged","error_msg"
"delta",0,-1.11314465389722,-0.128523068659651,0.677767964831978,0.918198974555446,1.73909102050004,TRUE,NA
"delta",0.01,-1.1116252437992,-0.129610729694746,0.676465055009794,0.916228377730748,1.74571068265159,TRUE,NA
"delta",0.02,-1.11011209368845,-0.130695210396982,0.675165479507082,0.914264031211453,1.75234886055331,TRUE,NA
"delta",0.03,-1.10860519572663,-0.131776501120766,0.67386924629552,0.91230593588953,1.75900547999205,TRUE,NA
"delta",0.04,-1.1071045417684,-0.132854592714087,0.672576363035547,0.910354092319858,1.76568046640419,TRUE,NA
"delta",0.05,-1.10561012336511,-0.133929476511909,0.671286837079328,0.908408500722945,1.77237374488737,TRUE,NA
"delta",0.06,-1.1041219317686,-0.135001144329718,0.670000675473021,0.906469160987747,1.77908524021239,TRUE,NA
"delta",0.07,-1.10263995793501,-0.136069588456872,0.66871788495963,0.904536072674634,1.78581487683488,TRUE,NA
"delta",0.08,-1.10116419252848,-0.137134801649906,0.66743847198177,0.902609235018368,1.79256257890686,TRUE,NA
"delta",0.09,-1.09969462592505,-0.138196777125924,0.666162442684308,0.900688646931084,1.79932827028841,TRUE,NA
"delta",0.1,-1.09823124821644,-0.139255508555791,0.664889802917383,0.898774307005384,1.80611187455901,TRUE,NA
"delta",0.11,-1.09677404921394,-0.140310990057468,0.663620558239008,0.89686621351737,1.8129133150291,TRUE,NA
"delta",0.12,-1.09532301845222,-0.1413632161892,0.662354713918135,0.894964364429753,1.81973251475125,TRUE,NA
"delta",0.13,-1.09387814519333,-0.14241218194285,0.661092274937526,0.89306875739508,1.82656939653157,TRUE,NA
"delta",0.14,-1.09243941843054,-0.143457882737068,0.659833245996405,0.891179389758735,1.83342388294081,TRUE,NA
"delta",0.15,-1.09100682689221,-0.144500314410453,0.658577631513986,0.889296258562334,1.84029589632537,TRUE,NA
"delta",0.16,-1.08958035904585,-0.145539473214925,0.657325435631844,0.887419360546776,1.84718535881845,TRUE,NA
"delta",0.17,-1.0881600031019,-0.146575355808688,0.656076662217453,0.885548692155625,1.85409219235069,TRUE,NA
"delta",0.18,-1.08674574701782,-0.147607959249755,0.654831314866719,0.883684249538271,1.8610163186613,TRUE,NA
"delta",0.19,-1.08533757850201,-0.148637280988998,0.653589396907411,0.881826028553278,1.86795765930858,TRUE,NA
"delta",0.2,-1.08393548501766,-0.149663318863311,0.65235091140225,0.879974024771731,1.87491613568045,TRUE,NA
"delta",0.21,-1.08253945378698,-0.150686071089234,0.651115861151305,0.878128233480409,1.88189166900539,TRUE,NA
"delta",0.22,-1.08114947179476,-0.151705536255552,0.649884248696513,0.876288649685404,1.88888418036206,TRUE,NA
"delta",0.23,-1.07976552579284,-0.152721713317461,0.648656076322808,0.874455268115073,1.89589359069066,TRUE,NA
"delta",0.24,-1.07838760230358,-0.153734601588958,0.647431346063018,0.872628083223802,1.90291982080204,TRUE,NA
"delta",0.25,-1.07701568762419,-0.154744200736832,0.646210059700587,0.87080708919531,1.90996279138859,TRUE,NA
"delta",0.26,-1.07564976783065,-0.155750510773966,0.64499221877163,0.868992279945767,1.9170224230341,TRUE,NA
"delta",0.27,-1.07428982878132,-0.156753532052101,0.643777824569981,0.867183649127572,1.92409863622297,TRUE,NA
"delta",0.28,-1.07293585612153,-0.157753265256339,0.642566878148406,0.865381190132554,1.93119135135121,TRUE,NA
"delta",0.29,-1.07158783528677,-0.158749711397316,0.641359380323214,0.863584896095361,1.93830048873455,TRUE,NA
"delta",0.3,-1.07024575150734,-0.15974287180591,0.640155331676721,0.861794759897085,1.94542596861948,TRUE,NA
"delta",0.31,-1.06890958981181,-0.160732748125959,0.638954732560647,0.860010774168476,1.95256771119162,TRUE,NA
"delta",0.32,-1.06757933503131,-0.161719342308494,0.63775758309924,0.858232931293473,1.95972563658587,TRUE,NA
"delta",0.33,-1.06625497180294,-0.162702656604427,0.636563883191928,0.856461223412537,1.96689966489446,TRUE,NA
"delta",0.34,-1.0649364845739,-0.16368269355873,0.635373632518832,0.854695642426631,1.97408971617662,TRUE,NA
"delta",0.35,-1.0636238576058,-0.164659456004719,0.634186830540667,0.85293617999965,1.98129571046822,TRUE,NA
"delta",0.36,-1.06231707497776,-0.1656329470567,0.633003476503527,0.851182827562533,1.98851756778928,TRUE,NA
"delta",0.37,-1.06101612059111,-0.166603170105074,0.631823569442682,0.849435576317153,1.99575520815418,TRUE,NA
"delta",0.38,-1.059720978172,-0.167570128808148,0.630647108186555,0.847694417238873,2.00300855157782,TRUE,NA
"delta",0.39,-1.05843163127705,-0.168533827089148,0.629474091351389,0.845959341078751,2.01027751808777,TRUE,NA
"delta",0.4,-1.05714806329487,-0.16949426912642,0.628304517361563,0.844230338371147,2.01756202772808,TRUE,NA
"delta",0.41,-1.05587025745164,-0.170451459350359,0.627138384434934,0.84250739943249,2.02486200057098,TRUE,NA
"delta",0.42,-1.05459819681628,-0.171405402440127,0.625975690596819,0.84079051436772,2.03217735672816,TRUE,NA
"delta",0.43,-1.05333186429731,-0.172356103305706,0.624816433681864,0.839079673071539,2.03950801634405,TRUE,NA
"delta",0.44,-1.05207124265835,-0.173303567102683,0.623660611318619,0.837374865231112,2.04685389962868,TRUE,NA
"delta",0.45,-1.05081631450158,-0.174247799191454,0.622508220993473,0.835676080341522,2.05421492682268,TRUE,NA
"delta",0.46,-1.04956706230545,-0.175188805190336,0.621359259958356,0.833983307685781,2.06159101827649,TRUE,NA
"delta",0.47,-1.04832346839769,-0.176126590917025,0.620213725222229,0.832296536320585,2.06898209439337,TRUE,NA
"delta",0.48,-1.04708551497045,-0.17706116240294,0.619071613858015,0.830615755241771,2.07638807566094,TRUE,NA
"delta",0.49,-1.04585318447578,-0.177992526556459,0.617932921614625,0.828940952760994,2.08380888347812,TRUE,NA
"delta",0.5,NA,NA,NA,NA,NA,FALSE,"S1: |a_{i,1}|≈0 detected. Use the cubic (Remark 1) branch for p_i(x)."
"delta",0.51,-1.04340531693214,-0.179845653797843,0.615665786698699,0.82560923973756,2.09869465540227,TRUE,NA
"delta",0.52,-1.04218974506948,-0.180767433241731,0.614537333934803,0.823952304550887,2.10615946472798,TRUE,NA
"delta",0.53,-1.04097972228682,-0.181686030850781,0.613412286685716,0.822301301507534,2.11363878221235,TRUE,NA
"delta",0.54,-1.03977523035717,-0.182601454370261,0.612290640916604,0.820656218313933,2.12113252966431,TRUE,NA
"delta",0.55,-1.03857625072012,-0.183513711342823,0.611172392108165,0.819017042521914,2.12864062855987,TRUE,NA
"delta",0.56,-1.03738276454731,-0.18442280921205,0.610057535908532,0.817383761619089,2.13616300017979,TRUE,NA
"delta",0.57,-1.03619475295706,-0.185328755674531,0.608946067787372,0.815756362927408,2.14369956605573,TRUE,NA
"delta",0.58,-1.03501219695391,-0.186231558567113,0.60783798304195,0.814134833597657,2.15125024784336,TRUE,NA
"delta",0.59,-1.0338350774526,-0.187131225897048,0.606733276857866,0.812519160634798,2.15881496737142,TRUE,NA
"delta",0.6,-1.03266337526248,-0.188027765805641,0.605631944253094,0.810909330882948,2.1663936466085,TRUE,NA
"delta",0.61,-1.03149707110901,-0.188921186594048,0.604533980107378,0.809305331033997,2.17398620770647,TRUE,NA
"delta",0.62,-1.03033614562065,-0.18981149669158,0.603439379181934,0.80770714763929,2.1815925729724,TRUE,NA
"delta",0.63,-1.02918057934427,-0.190698704671561,0.602348136087034,0.806114767099343,2.18921266489941,TRUE,NA
"delta",0.64,-1.02803035274189,-0.191582819236124,0.60126024531082,0.804528175675852,2.19684640615861,TRUE,NA
"delta",0.65,-1.02688544619418,-0.192463849212713,0.600175701211992,0.802947359492015,2.20449371960541,TRUE,NA
